STATION,STATION_NAME,ELEVATION,LATITUDE,LONGITUDE,DATE,PRCP,SNWD,SNOW,TMAX,TMIN,AWND
GHCND:USW00014753,BLUE HILL LCD MA US,190.5,42.2123,-71.1137,20110101,0,279,0,139,28,11
GHCND:USW00014753,BLUE HILL LCD MA US,190.5,42.2123,-71.1137,20110102,53,127,0,83,6,14
GHCND:USW00014753,BLUE HILL LCD MA US,190.5,42.2123,-71.1137,20110103,0,51,0,6,-50,53
GHCND:USW00014753,BLUE HILL LCD MA US,190.5,42.2123,-71.1137,20110104,0,51,0,28,-61,18
GHCND:USW00014753,BLUE HILL LCD MA US,190.5,42.2123,-71.1137,20110105,0,51,0,28,-56,31
GHCND:USW00014753,BLUE HILL LCD MA US,190.5,42.2123,-71.1137,20110106,0,51,0,-11,-83,9
GHCND:USW00014753,BLUE HILL LCD MA US,190.5,42.2123,-71.1137,20110107,0,51,0,6,-67,23
GHCND:USW00014753,BLUE HILL LCD MA US,190.5,42.2123,-71.1137,20110108,36,76,43,-11,-33,30
GHCND:USW00014753,BLUE HILL LCD MA US,190.5,42.2123,-71.1137,20110109,5,76,13,0,-67,62
GHCND:USW00014753,BLUE HILL LCD MA US,190.5,42.2123,-71.1137,20110110,0,76,0,6,-78,49
GHCND:USW00014753,BLUE HILL LCD MA US,190.5,42.2123,-71.1137,20110111,0,76,0,-11,-89,10
GHCND:USW00014753,BLUE HILL LCD MA US,190.5,42.2123,-71.1137,20110112,518,356,462,-6,-44,76
GHCND:USW00014753,BLUE HILL LCD MA US,190.5,42.2123,-71.1137,20110113,0,483,0,-22,-89,58
GHCND:USW00014753,BLUE HILL LCD MA US,190.5,42.2123,-71.1137,20110114,0,406,0,-50,-117,21
GHCND:USW00014753,BLUE HILL LCD MA US,190.5,42.2123,-71.1137,20110115,3,406,8,-11,-133,19
GHCND:USW00014753,BLUE HILL LCD MA US,190.5,42.2123,-71.1137,20110116,0,381,0,-6,-89,45
GHCND:USW00014753,BLUE HILL LCD MA US,190.5,42.2123,-71.1137,20110117,0,381,0,-78,-122,21
GHCND:USW00014753,BLUE HILL LCD MA US,190.5,42.2123,-71.1137,20110118,257,381,53,39,-89,21
GHCND:USW00014753,BLUE HILL LCD MA US,190.5,42.2123,-71.1137,20110119,48,330,28,22,-11,21
GHCND:USW00014753,BLUE HILL LCD MA US,190.5,42.2123,-71.1137,20110120,5,356,5,-11,-61,29
GHCND:USW00014753,BLUE HILL LCD MA US,190.5,42.2123,-71.1137,20110121,163,406,193,-33,-83,47
GHCND:USW00014753,BLUE HILL LCD MA US,190.5,42.2123,-71.1137,20110122,0,508,0,-44,-122,17
GHCND:USW00014753,BLUE HILL LCD MA US,190.5,42.2123,-71.1137,20110123,0,483,0,-56,-172,35
GHCND:USW00014753,BLUE HILL LCD MA US,190.5,42.2123,-71.1137,20110124,0,457,0,-117,-217,29
GHCND:USW00014753,BLUE HILL LCD MA US,190.5,42.2123,-71.1137,20110125,25,483,46,-17,-139,4
GHCND:USW00014753,BLUE HILL LCD MA US,190.5,42.2123,-71.1137,20110126,84,457,76,-6,-72,23
GHCND:USW00014753,BLUE HILL LCD MA US,190.5,42.2123,-71.1137,20110127,330,737,297,6,-61,50
GHCND:USW00014753,BLUE HILL LCD MA US,190.5,42.2123,-71.1137,20110128,0,660,0,6,-67,5
GHCND:USW00014753,BLUE HILL LCD MA US,190.5,42.2123,-71.1137,20110129,0,635,0,22,-50,12
GHCND:USW00014753,BLUE HILL LCD MA US,190.5,42.2123,-71.1137,20110130,0,610,0,22,-72,16
GHCND:USW00014753,BLUE HILL LCD MA US,190.5,42.2123,-71.1137,20110131,0,584,0,-39,-111,18
GHCND:USW00014753,BLUE HILL LCD MA US,190.5,42.2123,-71.1137,20110201,203,584,191,-67,-94,20
GHCND:USW00014753,BLUE HILL LCD MA US,190.5,42.2123,-71.1137,20110202,297,787,79,11,-78,34
GHCND:USW00014753,BLUE HILL LCD MA US,190.5,42.2123,-71.1137,20110203,0,762,0,-39,-94,17
