STATION,STATION_NAME,ELEVATION,LATITUDE,LONGITUDE,DATE,PRCP,SNWD,SNOW,TMAX,TMIN,TOBS,AWND
GHCND:USW00014753,BLUE HILL LCD MA US,190.5,42.2123,-71.1137,20110101,0,279,0,139,28,-9999,-9999
GHCND:USW00014702,BEDFORD HANSCOM FIELD MA US,40.5,42.47,-71.28944,20110101,0,-9999,-9999,144,-5,-9999,11
GHCND:USC00190736,EAST MILTON BLUE HILL OBSERVATORY MA US,190.5,42.2123,-71.1137,20110101,0,279,0,100,-6,56,-9999
GHCND:USC00194744,MIDDLETON MA US,27.4,42.59472,-71.02056,20110101,0,-9999,0,72,22,11,-9999
GHCND:US1MAES0010,ANDOVER 1.5 W MA US,47.9,42.6483,-71.1728,20110101,0,-9999,0,-9999,-9999,-9999,-9999
GHCND:USC00194502,MARBLEHEAD MA US,25.6,42.50056,-70.86417,20110101,0,178,-9999,100,-6,78,-9999
GHCND:US1MAMD0008,MELROSE 0.9 SSE MA US,36.3,42.4424,-71.0529,20110101,0,-9999,0,-9999,-9999,-9999,-9999
GHCND:US1MAES0002,BEVERLY 2.8 NW MA US,14,42.5872,-70.8774,20110101,0,229,0,-9999,-9999,-9999,-9999
GHCND:USC00194105,LAWRENCE MA US,15.2,42.6993,-71.1659,20110101,0,0,0,111,-17,17,-9999
GHCND:US1MANF0005,WEYMOUTH 0.5 NW MA US,30.2,42.2115,-70.9506,20110101,0,-9999,0,-9999,-9999,-9999,-9999
GHCND:USW00094723,LAWRENCE MUNICIPAL AIRPORT MA US,45.4,42.71722,-71.12389,20110101,0,-9999,-9999,156,11,-9999,16
GHCND:USC00193890,JAMAICA PLAIN MA US,29,42.3031,-71.124,20110101,-9999,178,-9999,106,0,33,-9999
GHCND:USC00190593,BEVERLY MA US,19.8,42.588,-70.8371,20110101,0,178,0,111,-39,11,-9999
GHCND:USW00014739,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,3.7,42.3606,-71.0106,20110101,0,-9999,0,133,17,-9999,27
GHCND:USC00193276,GROVELAND MA US,10.1,42.7467,-71.0426,20110101,0,127,0,139,-22,39,-9999
GHCND:USC00193624,HINGHAM MA US,10.7,42.22694,-70.9125,20110101,0,178,0,139,11,78,-9999
GHCND:USC00196783,READING MA US,27.4,42.5242,-71.1265,20110101,0,127,0,106,0,50,-9999
GHCND:US1MAMD0007,WINCHESTER 0.7 SE MA US,13.7,42.4459,-71.1358,20110101,0,152,0,-9999,-9999,-9999,-9999
GHCND:USW00054733,BEVERLY MUNICIPAL AIRPORT MA US,32.9,42.58417,-70.9175,20110101,0,-9999,-9999,128,-5,-9999,15
GHCND:USC00193505,HAVERHILL MA US,6.1,42.7594,-71.0602,20110101,-9999,-9999,-9999,111,-33,11,-9999
GHCND:US1MAES0008,MARBLEHEAD 0.8 SW MA US,11.6,42.4921,-70.8758,20110101,0,178,0,-9999,-9999,-9999,-9999
GHCND:USC00195175,NATICK MA US,54.9,42.2825,-71.344,20110101,0,229,0,122,-44,22,-9999
GHCND:USW00054704,NORWOOD MEMORIAL AIRPORT MA US,15.2,42.19083,-71.17361,20110101,0,-9999,-9999,139,-38,-9999,13
GHCND:USW00014753,BLUE HILL LCD MA US,190.5,42.2123,-71.1137,20110102,53,127,0,83,6,-9999,-9999
GHCND:USW00014702,BEDFORD HANSCOM FIELD MA US,40.5,42.47,-71.28944,20110102,10,-9999,-9999,89,22,-9999,14
GHCND:USC00190736,EAST MILTON BLUE HILL OBSERVATORY MA US,190.5,42.2123,-71.1137,20110102,3,127,0,139,56,61,-9999
GHCND:USC00194744,MIDDLETON MA US,27.4,42.59472,-71.02056,20110102,0,-9999,-9999,100,22,39,-9999
GHCND:US1MAES0010,ANDOVER 1.5 W MA US,47.9,42.6483,-71.1728,20110102,0,-9999,0,-9999,-9999,-9999,-9999
GHCND:USC00194502,MARBLEHEAD MA US,25.6,42.50056,-70.86417,20110102,0,76,-9999,128,50,61,-9999
GHCND:US1MAES0002,BEVERLY 2.8 NW MA US,14,42.5872,-70.8774,20110102,3,152,0,-9999,-9999,-9999,-9999
GHCND:USC00194105,LAWRENCE MA US,15.2,42.6993,-71.1659,20110102,3,0,0,144,11,39,-9999
GHCND:US1MANF0005,WEYMOUTH 0.5 NW MA US,30.2,42.2115,-70.9506,20110102,0,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USW00094723,LAWRENCE MUNICIPAL AIRPORT MA US,45.4,42.71722,-71.12389,20110102,0,-9999,-9999,89,28,-9999,13
GHCND:USC00193890,JAMAICA PLAIN MA US,29,42.3031,-71.124,20110102,3,152,-9999,150,33,72,-9999
GHCND:USC00190593,BEVERLY MA US,19.8,42.588,-70.8371,20110102,0,102,0,139,6,61,-9999
GHCND:USW00014739,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,3.7,42.3606,-71.0106,20110102,38,-9999,0,106,33,-9999,31
GHCND:USC00193276,GROVELAND MA US,10.1,42.7467,-71.0426,20110102,3,102,0,78,11,39,-9999
GHCND:USC00193624,HINGHAM MA US,10.7,42.22694,-70.9125,20110102,10,127,0,89,44,50,-9999
GHCND:USC00196783,READING MA US,27.4,42.5242,-71.1265,20110102,3,127,0,67,22,22,-9999
GHCND:US1MAMD0007,WINCHESTER 0.7 SE MA US,13.7,42.4459,-71.1358,20110102,0,102,0,-9999,-9999,-9999,-9999
GHCND:US1MASF0002,WINTHROP 0.2 N MA US,13.1,42.3842,-70.9797,20110102,3,64,-9999,-9999,-9999,-9999,-9999
GHCND:USW00054733,BEVERLY MUNICIPAL AIRPORT MA US,32.9,42.58417,-70.9175,20110102,13,-9999,-9999,83,-321,-9999,17
GHCND:USC00193505,HAVERHILL MA US,6.1,42.7594,-71.0602,20110102,-9999,0,-9999,139,6,28,-9999
GHCND:US1MAES0008,MARBLEHEAD 0.8 SW MA US,11.6,42.4921,-70.8758,20110102,3,114,-9999,-9999,-9999,-9999,-9999
GHCND:USC00195175,NATICK MA US,54.9,42.2825,-71.344,20110102,0,178,0,150,11,67,-9999
GHCND:USW00054704,NORWOOD MEMORIAL AIRPORT MA US,15.2,42.19083,-71.17361,20110102,58,-9999,-9999,94,17,-9999,18
GHCND:USW00014753,BLUE HILL LCD MA US,190.5,42.2123,-71.1137,20110103,0,51,0,6,-50,-9999,-9999
GHCND:USW00014702,BEDFORD HANSCOM FIELD MA US,40.5,42.47,-71.28944,20110103,0,-9999,-9999,17,-55,-9999,53
GHCND:USC00190736,EAST MILTON BLUE HILL OBSERVATORY MA US,190.5,42.2123,-71.1137,20110103,51,51,0,83,-33,-33,-9999
GHCND:USC00194744,MIDDLETON MA US,27.4,42.59472,-71.02056,20110103,0,-9999,-9999,61,-22,22,-9999
GHCND:US1MAES0010,ANDOVER 1.5 W MA US,47.9,42.6483,-71.1728,20110103,0,-9999,0,-9999,-9999,-9999,-9999
GHCND:USC00194502,MARBLEHEAD MA US,25.6,42.50056,-70.86417,20110103,0,25,-9999,83,-22,-17,-9999
GHCND:US1MAMD0008,MELROSE 0.9 SSE MA US,36.3,42.4424,-71.0529,20110103,0,-9999,0,-9999,-9999,-9999,-9999
GHCND:US1MAES0002,BEVERLY 2.8 NW MA US,14,42.5872,-70.8774,20110103,13,114,0,-9999,-9999,-9999,-9999
GHCND:USC00194105,LAWRENCE MA US,15.2,42.6993,-71.1659,20110103,0,0,0,89,-33,-28,-9999
GHCND:US1MANF0005,WEYMOUTH 0.5 NW MA US,30.2,42.2115,-70.9506,20110103,53,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USW00094723,LAWRENCE MUNICIPAL AIRPORT MA US,45.4,42.71722,-71.12389,20110103,0,-9999,-9999,28,-43,-9999,52
GHCND:USC00193890,JAMAICA PLAIN MA US,29,42.3031,-71.124,20110103,43,102,-9999,89,-22,-22,-9999
GHCND:USC00190593,BEVERLY MA US,19.8,42.588,-70.8371,20110103,23,76,0,78,-11,-11,-9999
GHCND:USW00014739,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,3.7,42.3606,-71.0106,20110103,0,-9999,0,33,-17,-9999,69
GHCND:USC00193276,GROVELAND MA US,10.1,42.7467,-71.0426,20110103,0,76,0,39,-44,-44,-9999
GHCND:USC00193624,HINGHAM MA US,10.7,42.22694,-70.9125,20110103,48,76,0,56,-28,-28,-9999
GHCND:USC00196783,READING MA US,27.4,42.5242,-71.1265,20110103,0,102,0,22,-56,-56,-9999
GHCND:US1MAMD0007,WINCHESTER 0.7 SE MA US,13.7,42.4459,-71.1358,20110103,15,51,-9999,-9999,-9999,-9999,-9999
GHCND:US1MASF0002,WINTHROP 0.2 N MA US,13.1,42.3842,-70.9797,20110103,33,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USW00054733,BEVERLY MUNICIPAL AIRPORT MA US,32.9,42.58417,-70.9175,20110103,0,-9999,-9999,28,-43,-9999,60
GHCND:USC00193505,HAVERHILL MA US,6.1,42.7594,-71.0602,20110103,25,0,-9999,83,-11,-11,-9999
GHCND:US1MAES0008,MARBLEHEAD 0.8 SW MA US,11.6,42.4921,-70.8758,20110103,33,76,-9999,-9999,-9999,-9999,-9999
GHCND:USC00195175,NATICK MA US,54.9,42.2825,-71.344,20110103,20,102,0,89,-22,-22,-9999
GHCND:USW00054704,NORWOOD MEMORIAL AIRPORT MA US,15.2,42.19083,-71.17361,20110103,0,-9999,-9999,17,-49,-9999,47
GHCND:USW00014753,BLUE HILL LCD MA US,190.5,42.2123,-71.1137,20110104,0,51,0,28,-61,-9999,-9999
GHCND:US1MASF0001,BOSTON 0.5 WSW MA US,13.1,42.357,-71.0671,20110104,0,-9999,0,-9999,-9999,-9999,-9999
GHCND:USW00014702,BEDFORD HANSCOM FIELD MA US,40.5,42.47,-71.28944,20110104,0,-9999,-9999,33,-77,-9999,18
GHCND:USC00190736,EAST MILTON BLUE HILL OBSERVATORY MA US,190.5,42.2123,-71.1137,20110104,0,51,0,6,-61,-56,-9999
GHCND:USC00194744,MIDDLETON MA US,27.4,42.59472,-71.02056,20110104,0,102,-9999,44,-67,39,-9999
GHCND:US1MAES0010,ANDOVER 1.5 W MA US,47.9,42.6483,-71.1728,20110104,0,-9999,0,-9999,-9999,-9999,-9999
GHCND:USC00194502,MARBLEHEAD MA US,25.6,42.50056,-70.86417,20110104,0,25,-9999,17,-56,-28,-9999
GHCND:US1MAES0002,BEVERLY 2.8 NW MA US,14,42.5872,-70.8774,20110104,0,102,0,-9999,-9999,-9999,-9999
GHCND:USC00194105,LAWRENCE MA US,15.2,42.6993,-71.1659,20110104,0,0,0,17,-61,-39,-9999
GHCND:US1MANF0005,WEYMOUTH 0.5 NW MA US,30.2,42.2115,-70.9506,20110104,0,-9999,0,-9999,-9999,-9999,-9999
GHCND:USW00094723,LAWRENCE MUNICIPAL AIRPORT MA US,45.4,42.71722,-71.12389,20110104,0,-9999,-9999,33,-55,-9999,23
GHCND:USC00193890,JAMAICA PLAIN MA US,29,42.3031,-71.124,20110104,-9999,102,-9999,17,-67,-61,-9999
GHCND:USC00190593,BEVERLY MA US,19.8,42.588,-70.8371,20110104,0,76,0,11,-61,-56,-9999
GHCND:USW00014739,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,3.7,42.3606,-71.0106,20110104,0,-9999,0,39,-39,-9999,46
GHCND:USC00193276,GROVELAND MA US,10.1,42.7467,-71.0426,20110104,0,76,0,33,-89,-56,-9999
GHCND:USC00193624,HINGHAM MA US,10.7,42.22694,-70.9125,20110104,0,76,0,33,-78,-17,-9999
GHCND:USC00196783,READING MA US,27.4,42.5242,-71.1265,20110104,0,102,0,33,-67,-56,-9999
GHCND:US1MAMD0007,WINCHESTER 0.7 SE MA US,13.7,42.4459,-71.1358,20110104,0,38,0,-9999,-9999,-9999,-9999
GHCND:USW00054733,BEVERLY MUNICIPAL AIRPORT MA US,32.9,42.58417,-70.9175,20110104,0,-9999,-9999,28,-66,-9999,26
GHCND:USC00193505,HAVERHILL MA US,6.1,42.7594,-71.0602,20110104,-9999,-9999,-9999,11,-61,-56,-9999
GHCND:US1MAES0008,MARBLEHEAD 0.8 SW MA US,11.6,42.4921,-70.8758,20110104,0,-9999,0,-9999,-9999,-9999,-9999
GHCND:USC00195175,NATICK MA US,54.9,42.2825,-71.344,20110104,0,76,0,11,-72,-72,-9999
GHCND:USW00054704,NORWOOD MEMORIAL AIRPORT MA US,15.2,42.19083,-71.17361,20110104,0,-9999,-9999,33,-105,-9999,20
GHCND:USW00014753,BLUE HILL LCD MA US,190.5,42.2123,-71.1137,20110105,0,51,0,28,-56,-9999,-9999
